Account,Net PnL,Size USD,Trade Count,Win Rate,Cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1285271.008005,2837510.9433333334,3542,0.7619047619047619,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,32261.39714216,238689.05836734694,6974,0.5714285714285714,2
0x271b280974205ca63b716753467d5a371de622ab,-81289.78665099999,3760167.211111111,3802,0.6666666666666666,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,129929.7488175491,42065.485723270445,13121,0.8679245283018868,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,165572.602365,153133.93196969698,3213,0.803030303030303,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31368.44895138,32573.495750000002,737,0.325,2
0x39cef799f8b69da1995852eea189df24eb5cae3c,13731.229558930014,379455.0304651163,3584,0.5813953488372093,2
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53226.02775508301,44476.3104,324,0.52,2
0x420ab45e0bd8863569a5efbb9c05d91f40624641,188856.762433021,82097.99764705882,317,0.47058823529411764,2
0x430f09841d65beb3f27765503d0f850b8bce7713,416094.150136,108909.39199999999,1095,0.28,2
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101870.5696652881,31229.10836879433,8500,0.8156028368794326,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,661962.78469981,703975.1758181818,4261,0.6545454545454545,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,267039.827402,407104.5201886793,7562,0.5911949685534591,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,705179.64848627,11473241.111111112,11776,0.5833333333333334,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,107444.46459706759,16221.055,956,0.5454545454545454,2
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,103243.11855970997,507787.56125,1366,0.1875,2
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,369310.23447984003,46759.80048387097,1402,0.25806451612903225,2
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,374614.28577032,179295.26867132867,9803,0.9090909090909091,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,13997.82361596,243989.1656521739,1546,0.6086956521739131,2
0x8170715b3b381dffb7062c0298972d4727a0a63b,-169100.051356,113477.95393258428,4574,0.42696629213483145,2
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,62017.81499999,235020.76588235295,1904,0.4117647058823529,2
0x8477e447846c758f5a675856001ea72298fd9cb5,39988.036462530006,69977.2970760234,14660,0.7485380116959064,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,106997.69534197,538660.4726666666,2229,0.4,2
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,90134.2528861616,298015.0272131148,14400,0.7049180327868853,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,86987.19345449,17007.16117647059,389,0.47058823529411764,2
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,39139.921571,74398.44166666667,319,0.5,2
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21180.615319780598,259599.36764705883,515,0.5294117647058824,2
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025238.87766318,221848.30818181817,14640,0.4743083003952569,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,-39967.590121,3250784.480625,4648,0.75,1
0xbaaaf6571ab7d571043ff1e313a9609a10637864,931591.402122781,2697527.164,21066,0.8,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,330043.50506957003,291343.35953125,2456,0.28125,2
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,803896.95518661,570530.406640625,39818,0.7890625,3
